,membership_id,first_name,last_name,email,date_of_birth,mobile_no,above_18
0,,William,Dixon,William_Dixon@woodward-fuller.biz,19860110,40601711,True
1,,Kristen,Horn,Kristen_Horn@lin.com,19740910,737931,True
2,,Kimberly,Chang,Kimberly_Chang@johnson-lopez.biz,19740227,2692047,True
3,,Mary,Ball,Mary_Ball@stevens.biz,19680205,886359,True
4,,Benjamin,Craig,Benjamin_Craig@berry.net,19881211,696429,True
5,,Cathy,Werner,Cathy_Werner@martinez.net,20180925,7138041,False
6,,Brandon,Bell,Brandon_Bell@johnson-burgess.com,19611027,768543,True
7,,Paul,Farley,Paul_Farley@payne-taylor.com,19801122,8196105,True
8,,Sarah,Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,20170426,12556,False
9,,Caroline,Anderson,Caroline_Anderson@blair-phillips.com,19880227,5818212,True
10,,Carl,Jones,Carl_Jones@coleman.com,19930621,220035,True
11,,Scott,Lee,Scott_Lee@phillips.com,20100712,52145751,False
12,,Kaylee,Coleman,Kaylee_Coleman@hammond.com,20091008,156657,False
13,,Charles,Parker,Charles_Parker@morris-keller.com,19801220,92921,True
14,,Susan,Hess,Susan_Hess@sharp-hodges.net,19500521,46541,True
15,,Kiara,Collier,Kiara_Collier@chandler.biz,19590521,955551,True
16,,Scott,Martinez,Scott_Martinez@goodwin.com,19920216,369441,True
17,,Christopher,Ortega,Christopher_Ortega@perez.biz,19590618,9968155,True
18,,Michael,Russell,Michael_Russell@nunez-wright.com,20130120,6400283,False
19,,Dwayne,Johnson,Dwayne_Johnson@contreras-boyd.com,20061110,115935,False
21,,Deanna,Sherman,Deanna_Sherman@wright-sanchez.org,19750425,143073,True
22,,Douglas,Francis,Douglas_Francis@king-cross.org,19921221,1535885,True
23,,Vicki,Diaz,Vicki_Diaz@macdonald-day.com,19931005,165459,True
24,,Robin,Phillips,Robin_Phillips@krause.net,19740715,69531,True
25,,Travis,Rice,Travis_Rice@bradley.net,20060508,3631 6303,False
26,,Ashley,Rocha,Ashley_Rocha@hicks.info,19560911,7046565,True
27,,Sarah,Jacobson,Sarah_Jacobson@mclean-jacobs.info,19580309,6107 1779,True
28,,Kayla,Shannon,Kayla_Shannon@hendricks-hunter.org,19840517,51323743,True
31,,Joseph,Torres,Joseph_Torres@johnson.com,19550505,34376,True
32,,Kim,Jones,Kim_Jones@little.net,19850211,34401,True
33,,Melissa,Tanner,Melissa_Tanner@johnson.net,19890430,70391,True
35,,Sonya,Foster,Sonya_Foster@garcia-browning.com,19881009,143877,True
37,,Thomas,Rivera,Thomas_Rivera@guzman-avila.com,19510715,843813,True
38,,Jamie,Silva,Jamie_Silva@hill.com,20060621,469791,False
39,,Kathleen,Moore,Kathleen_Moore@avila.info,19520203,609093,True
40,,Evelyn,Pineda,Evelyn_Pineda@sullivan-collins.net,19580204,8819217,True
41,,Kyle,Peters,Kyle_Peters@cole-edwards.com,19950825,346701,True
42,,Anthony,Cruz,Anthony_Cruz@burns.com,19550222,1742399,True
45,,Gary,Harper,Gary_Harper@bell-mueller.com,19980111,77546,True
46,,Linda,Johnson,Linda_Johnson@williams.biz,19590729,828207,True
47,,Melissa,Smith,Melissa_Smith@carroll.org,19971208,9831067,True
48,,Kristen,Floyd,Kristen_Floyd@robinson.com,19930525,4685654,True
49,,William,Diaz,William_Diaz@cruz-norris.com,19870216,97811,True
50,,Benjamin,Smith,Benjamin_Smith@christian-contreras.com,19871223,9583 5639,True
51,,David,Glenn,David_Glenn@jenkins-mcfarland.org,20110615,960561,False
52,,Dawn,Jones,Dawn_Jones@ashley-johnson.com,20070302,91686479,False
53,,Joel,Smith,Joel_Smith@walker-roth.biz,19710909,8287875,True
54,,Larry,Grimes,Larry_Grimes@lewis-richardson.info,20051231,966177,False
55,,Joseph,Arnold,Joseph_Arnold@gibbs.biz,20050821,2019270,False
56,,Kyle,Long,Kyle_Long@galvan.com,19920713,2785329,True
57,,Brittany,Day,Brittany_Day@brown.info,20180522,61597047,False
58,,Bobby,Ward,Bobby_Ward@bailey-taylor.org,19641006,64672783,True
59,,Thomas,Lee,Thomas_Lee@wilson-allen.com,19961028,91381,True
60,,Jennifer,Hansen,Jennifer_Hansen@nelson.biz,19630628,308547,True
61,,Lisa,Murray,Lisa_Murray@mcclain.net,20110709,3172233,False
62,,Meghan,Wade,Meghan_Wade@garcia-brown.org,19820915,610719,True
63,,Tammie,Brooks,Tammie_Brooks@james.com,19620914,114957,True
64,,Maria,Bell,Maria_Bell@lambert-lamb.com,20181026,60030719,False
65,,Allison,Livingston,Allison_Livingston@jones-thompson.com,19501201,503175,True
66,,Chris,Hays,Chris_Hays@todd-mccoy.info,19510827,2661590,True
67,,Courtney,Mitchell,Courtney_Mitchell@dominguez.biz,19811227,657699,True
68,,Shawn,White,Shawn_White@kerr.com,19600915,21631,True
72,,Zachary,Watts,Zachary_Watts@nguyen-whitehead.info,19841230,3427810,True
73,,Sarah,Montoya,Sarah_Montoya@jackson.com,20001107,31426,True
74,,Jennifer,Barker,Jennifer_Barker@wilson.net,20110526,61006,False
76,,Tiffany,Stevens,Tiffany_Stevens@estrada.com,19620523,6246556,True
77,,Ruben,Armstrong,Ruben_Armstrong@watkins.com,20151009,6962936,False
78,,Jeffrey,Spencer,Jeffrey_Spencer@cooke.com,19821229,19976,True
79,,Nicole,Ramsey,Nicole_Ramsey@vega.biz,19700711,340839,True
80,,Anne,Roy,Anne_Roy@humphrey-smith.com,19690827,87811,True
82,,Allison,Chavez,Allison_Chavez@lewis.biz,19840818,64931,True
83,,Marcus,Adams,Marcus_Adams@perry.info,19850122,5901652,True
84,,Mary,Smith,Mary_Smith@meyer.net,19930717,64046,True
85,,Joseph,Reed,Joseph_Reed@kelley.com,19511220,1879 8163,True
87,,Jeff,Armstrong,Jeff_Armstrong@kennedy-lucas.com,19540301,88331,True
88,,Sean,Shields,Sean_Shields@christian.info,20010216,617613,True
90,,Christian,Grant,Christian_Grant@booker-frank.com,19790923,8851893,True
91,,Edward,Watson,Edward_Watson@brooks.com,20071204,946371,False
92,,Derrick,Cooke,Derrick_Cooke@hill.net,20040915,4575922,True
